Symbol,Timeframe,Date,Current_Price,Prev_High,Prev_Low,Prev_Close,PP,R1,R2,R3,R4,R5,R6,S1,S2,S3,S4,S5,S6
AAPL,Daily,2026-03-12,250.1199951171875,258.95001220703125,254.17999267578125,255.75999450683594,256.2966664632161,256.19724629720054,256.6344980875651,257.0717498779297,258.3835052490234,259.9156355224609,260.55966483598786,255.32274271647137,254.88549092610677,254.4482391357422,253.13648376464843,255.75999450683597,250.96032417768402
AAPL,Weekly,2026-03-06,250.1199951171875,266.5299987792969,254.3699951171875,257.4599914550781,259.4533284505208,258.57465845743815,259.68932545979817,260.8039924621582,264.14799346923826,268.0537866455078,269.7677105219362,256.3453244527181,255.23065745035808,254.11599044799806,250.77198944091796,257.4599914550781,245.15227238822007
MSFT,Daily,2026-03-12,395.54998779296875,406.1199951171875,401.7099914550781,401.8599853515625,403.22999064127606,402.26423568725585,402.6684860229492,403.0727363586426,404.28548736572264,405.70198054199216,406.27163565838293,401.45573501586915,401.0514846801758,400.6472343444824,399.43448333740236,401.8599853515625,397.44833504474207
MSFT,Weekly,2026-03-06,395.54998779296875,413.04998779296875,390.6300048828125,408.9599914550781,404.2133280436198,411.0151565551758,413.07032165527346,415.12548675537107,421.2909820556641,428.4922805664063,432.43201332936076,406.90482635498046,404.8496612548828,402.7944961547852,396.6290008544922,408.9599914550781,385.4879695807955
JNJ,Daily,2026-03-12,241.52000427246094,244.39999389648438,240.3000030517578,242.0399932861328,242.24666341145834,242.41582578023275,242.7916582743327,243.16749076843263,244.29498825073242,245.61190531005857,246.16967178770602,241.66416079203287,241.28832829793294,240.912495803833,239.7849983215332,242.0399932861328,237.9103147845596
JNJ,Weekly,2026-03-06,241.52000427246094,251.7100067138672,235.42999267578125,240.39999389648438,242.5133310953776,241.89232851664227,243.38466313680013,244.87699775695802,249.35400161743163,254.58314212646482,257.02368415323195,238.90765927632648,237.41532465616862,235.92299003601073,231.44598617553712,240.39999389648435,223.7763036397368
JPM,Daily,2026-03-12,283.44000244140625,283.8800048828125,279.1000061035156,282.8900146484375,281.95667521158856,283.3281812032064,283.76634775797527,284.20451431274415,285.5190139770508,287.05434958496096,287.7349229075698,282.4518480936686,282.01368153889973,281.57551498413085,280.2610153198242,282.8900146484375,278.0451063893052
JPM,Weekly,2026-03-06,283.44000244140625,302.3900146484375,283.7099914550781,289.4800109863281,291.86000569661456,291.1923464457194,292.9046819051107,294.617017364502,299.75402374267577,305.75404719238276,308.53994360098454,287.76767552693684,286.05534006754556,284.3430046081543,279.2059982299805,289.4800109863281,270.4200783716717
AMZN,Daily,2026-03-12,207.6699981689453,211.7100067138672,208.14999389648438,209.52999877929688,209.79666646321616,209.85633328755696,210.18266779581705,210.50900230407714,211.4880058288574,212.63148194580077,213.11361397580492,209.20366427103679,208.8773297627767,208.5509952545166,207.57199172973634,209.52999877929688,205.94638358278883
AMZN,Weekly,2026-03-06,207.6699981689453,220.47000122070312,202.47999572753906,213.2100067138672,212.05333455403647,214.85909055074055,216.50817438761393,218.1572582244873,223.10450973510743,228.88289949951175,232.1533555528376,211.56092287699383,209.91183904012044,208.26275520324708,203.31550369262695,213.21000671386722,194.26665787489677
PG,Daily,2026-03-12,150.64999389648438,153.0500030517578,150.3300018310547,150.5,151.2933349609375,150.74933344523112,150.99866689046223,151.24800033569335,151.99600067138672,152.8696650634766,153.2230770886032,150.25066655476888,150.00133310953777,149.75199966430665,149.00399932861328,150.5,147.7769229113968
PG,Weekly,2026-03-06,150.64999389648438,166.5500030517578,151.88999938964844,153.6300048828125,157.3566691080729,154.97383855183918,156.3176722208659,157.66150588989257,161.69300689697266,166.4018000732422,168.45794907428115,152.28617121378582,150.9423375447591,149.59850387573243,145.56700286865234,153.63000488281253,138.80206069134385
XOM,Daily,2026-03-12,156.1199951171875,155.0,151.6300048828125,153.52999877929688,153.38666788736978,153.8389149983724,154.14783121744793,154.45674743652344,155.38349609375,156.46593852539064,156.94222148962325,153.22108256022136,152.91216634114582,152.6032501220703,151.67650146484374,153.5299987792969,150.1177760689705
XOM,Weekly,2026-03-06,156.1199951171875,159.61000061035156,147.86000061035156,151.2100067138672,152.8933359781901,152.2870900472005,153.36417338053386,154.44125671386718,157.6725067138672,161.44660671386723,163.22622186031532,150.13292338053387,149.05584004720052,147.9787567138672,144.74750671386718,151.21000671386722,139.19379156741905
CAT,Daily,2026-03-12,693.989990234375,703.77001953125,679.760009765625,700.6900024414062,694.7400105794271,702.8909200032552,705.0918375651041,707.2927551269531,713.8955078125,721.6075229492187,725.4392868353126,698.4890848795573,696.2881673177084,694.0872497558594,687.4844970703125,700.6900024414061,675.9407180474999
CAT,Weekly,2026-03-06,693.989990234375,755.72998046875,675.0700073242188,680.9000244140625,703.9000040690104,688.2938552856446,695.6876861572266,703.0815170288085,725.2630096435547,751.1709930175782,762.2565905293923,673.5061935424804,666.1123626708984,658.7185317993165,636.5370391845703,680.9000244140625,599.5434582987327
NEE,Daily,2026-03-12,92.77999877929688,92.7300033569336,90.80999755859375,91.7300033569336,91.75666809082031,91.90600388844808,92.08200441996256,92.25800495147705,92.7860065460205,93.40271240844726,93.669460939381,91.5540028254191,91.37800229390463,91.20200176239014,90.67400016784669,91.73000335693358,89.79054577448619
NEE,Weekly,2026-03-06,92.77999877929688,93.6500015258789,89.9000015258789,91.0199966430664,91.52333323160808,91.3637466430664,91.7074966430664,92.0512466430664,93.0824966430664,94.2869966430664,94.81671501479241,90.6762466430664,90.3324966430664,89.9887466430664,88.9574966430664,91.0199966430664,87.2232782713404
AMT,Daily,2026-03-12,184.41000366210938,184.17999267578125,179.60000610351562,179.86000061035156,181.2133331298828,180.27983271280925,180.6996648152669,181.1194969177246,182.37899322509764,183.85008491210937,184.44661731240393,179.44016850789387,179.0203364054362,178.60050430297852,177.34100799560548,179.86000061035153,175.2733839082992
