Symbol,Date,Close,Prev_High,Prev_Low,Prev_Close,PP,R1,R2,R3,R4,R5,R6,S1,S2,S3,S4,S5,S6
AAPL,2026-03-13,250.1199951171875,258.95001220703125,254.17999267578125,255.75999450683594,256.2966664632161,256.19724629720054,256.6344980875651,257.0717498779297,258.3835052490234,259.9156355224609,260.55966483598786,255.32274271647137,254.88549092610677,254.4482391357422,253.13648376464843,255.75999450683597,250.96032417768402
MSFT,2026-03-13,395.54998779296875,406.1199951171875,401.7099914550781,401.8599853515625,403.22999064127606,402.26423568725585,402.6684860229492,403.0727363586426,404.28548736572264,405.70198054199216,406.27163565838293,401.45573501586915,401.0514846801758,400.6472343444824,399.43448333740236,401.8599853515625,397.44833504474207
NVDA,2026-03-13,180.25,184.94000244140625,181.75,183.13999938964844,183.27666727701822,183.4324162801107,183.7248331705729,184.01725006103516,184.89450073242188,185.91912951660157,186.35439853777564,182.8475824991862,182.55516560872397,182.26274871826172,181.385498046875,183.1399993896484,179.92560024152124
GOOGL,2026-03-13,302.2799987792969,308.94000244140625,301.0299987792969,303.54998779296875,304.5066630045573,304.2750714619954,305.00015513102215,305.7252388000488,307.9004898071289,310.44118298339845,311.52620785346846,302.8249041239421,302.09982045491535,301.3747367858887,299.1994857788086,303.5499877929688,295.57376773246904
META,2026-03-13,613.7100219726562,653.5,636.9000244140625,638.1799926757812,642.8600056966146,639.7016571044921,641.2233215332031,642.744985961914,647.3099792480468,652.6418914062499,654.8133289793838,636.6583282470704,635.1366638183594,633.6149993896485,629.0500061035157,638.1799926757814,621.5466563721787
AVGO,2026-03-13,322.1600036621094,339.8299865722656,332.20001220703125,335.9700012207031,336.0,336.6694155375163,337.3688298543294,338.06824417114257,340.166487121582,342.6172348876953,343.68656474450023,335.27058690389,334.57117258707683,333.8717582702637,331.77351531982424,335.9700012207031,328.253437696906
ORCL,2026-03-13,155.11000061035156,167.8300018310547,158.61000061035156,159.16000366210938,161.86666870117188,160.00517044067382,160.85033721923827,161.69550399780275,164.2310043334961,167.1924687255859,168.41197656674848,158.31483688354493,157.46967010498048,156.624503326416,154.08900299072266,159.16000366210938,149.90803075747027
CRM,2026-03-13,192.8300018310547,204.86000061035156,193.14999389648438,199.27999877929688,199.09666442871094,200.35341606140136,201.42683334350585,202.50025062561036,205.72050247192382,209.48175662841794,211.3616461900426,198.2065814971924,197.1331642150879,196.0597469329834,192.83949508666993,199.27999877929688,187.19835136855116
ADBE,2026-03-13,249.32000732421875,276.2799987792969,269.20001220703125,269.7799987792969,271.7533365885417,270.42899754842125,271.07799631754557,271.72699508666994,273.67399139404296,275.9480830810546,276.87523905497085,269.1310000101725,268.4820012410482,267.8330024719238,265.8860061645508,269.7799987792968,262.6847585036229
INTC,2026-03-13,45.77000045776367,47.439998626708984,45.16999816894531,45.25,45.9533322652181,45.458083375295004,45.66616675059001,45.87425012588501,46.49850025177002,47.227624398803705,47.52402091825687,45.041916624704996,44.83383324940999,44.62574987411499,44.00149974822998,45.25,42.97597908174313
JNJ,2026-03-13,241.52000427246094,244.39999389648438,240.3000030517578,242.0399932861328,242.24666341145834,242.41582578023275,242.7916582743327,243.16749076843263,244.29498825073242,245.61190531005857,246.16967178770602,241.66416079203287,241.28832829793294,240.912495803833,239.7849983215332,242.0399932861328,237.9103147845596
UNH,2026-03-13,282.0899963378906,287.55999755859375,276.2900085449219,277.04998779296875,280.2999979654948,278.083070119222,279.1161524454753,280.1492347717285,283.2484817504883,286.8684022216797,288.35097668905115,276.0169054667155,274.9838231404622,273.950740814209,270.8514938354492,277.0499877929688,265.74899889688635
LLY,2026-03-13,985.0800170898438,994.5,973.1599731445312,977.25,981.6366577148438,979.206169128418,981.1623382568359,983.1185073852539,988.9870147705078,995.8414313964844,998.6797153808335,975.293830871582,973.3376617431641,971.3814926147461,965.5129852294922,977.25,955.8202846191665
PFE,2026-03-13,26.579999923706055,27.1200008392334,26.6299991607666,26.860000610351562,26.87000020345052,26.904917430877685,26.949834251403807,26.994751071929933,27.1295015335083,27.286890072631834,27.354234399216335,26.81508378982544,26.770166969299318,26.725250148773192,26.590499687194825,26.860000610351562,26.36576682148679
